specialty,task_type,task_size,difficulty,user_level,actual_minutes
Software Engineering,Reading Documentation,22,2,3,185
Computer Networks,Security Auditing,2,3,2,42
Artificial Intelligence,Math/Algorithm Review,9,1,1,99
Software Engineering,Code Review,15,1,3,123
Computer Networks,Lab Simulation,5,2,1,94
Software Engineering,Writing Code,20,2,2,275
Artificial Intelligence,Data Preprocessing,15,2,2,236
Software Engineering,Code Review,1,3,3,16
Computer Networks,Reading Protocols,17,2,3,221
Computer Networks,Lab Simulation,12,2,1,185
Software Engineering,Writing Code,3,2,1,62
Artificial Intelligence,Reading Research Papers,15,1,1,193
Computer Networks,Security Auditing,18,1,1,254
Artificial Intelligence,Data Preprocessing,17,2,2,258
Software Engineering,Reading Documentation,6,3,2,132
Software Engineering,Debugging,11,2,1,217
Software Engineering,Code Review,16,2,1,289
Artificial Intelligence,Writing Code,2,1,2,20
Software Engineering,Debugging,1,3,1,25
Artificial Intelligence,Reading Research Papers,2,2,2,34
Computer Networks,Security Auditing,4,1,2,40
Artificial Intelligence,Math/Algorithm Review,15,3,2,382
Computer Networks,Network Troubleshooting,22,2,1,484
Computer Networks,Configuring Routers,18,2,2,206
Artificial Intelligence,Model Training,7,3,1,149
Computer Networks,Network Troubleshooting,3,3,2,66
Artificial Intelligence,Model Training,2,1,1,18
Artificial Intelligence,Data Preprocessing,20,2,3,256
Artificial Intelligence,Reading Research Papers,16,2,2,233
Computer Networks,Reading Protocols,6,1,3,40
Computer Networks,Reading Protocols,14,2,1,230
Software Engineering,Code Review,1,1,3,5
Computer Networks,Lab Simulation,18,3,3,342
Software Engineering,Writing Code,4,3,1,84
Software Engineering,System Design,21,2,3,254
Software Engineering,Reading Documentation,5,2,2,64
Software Engineering,System Design,5,2,2,53
Computer Networks,Security Auditing,9,2,1,211
Software Engineering,Reading Documentation,19,2,1,488
Software Engineering,Writing Code,3,2,2,41
Software Engineering,Writing Code,17,2,1,370
Computer Networks,Lab Simulation,9,2,1,157
Computer Networks,Lab Simulation,16,3,2,353
Artificial Intelligence,Math/Algorithm Review,19,1,1,279
Artificial Intelligence,Writing Code,18,1,1,254
Artificial Intelligence,Reading Research Papers,1,1,2,6
Artificial Intelligence,Data Preprocessing,8,2,2,104
Artificial Intelligence,Reading Research Papers,11,1,1,167
Software Engineering,System Design,8,1,1,124
Computer Networks,Configuring Routers,12,2,2,157
Artificial Intelligence,Data Preprocessing,22,3,2,591
Artificial Intelligence,Math/Algorithm Review,8,2,2,106
Software Engineering,Debugging,24,2,2,331
Artificial Intelligence,Model Training,2,1,1,24
Software Engineering,Debugging,12,1,1,167
Software Engineering,Code Review,18,1,2,173
Artificial Intelligence,Math/Algorithm Review,3,2,2,41
Computer Networks,Lab Simulation,22,2,3,195
Software Engineering,System Design,2,1,2,22
Software Engineering,Code Review,2,2,1,45
Artificial Intelligence,Writing Code,3,2,1,68
Software Engineering,Writing Code,4,3,2,76
Computer Networks,Security Auditing,10,2,3,111
Artificial Intelligence,Reading Research Papers,9,1,1,93
Computer Networks,Configuring Routers,16,1,2,135
Artificial Intelligence,Model Training,3,3,1,87
Artificial Intelligence,Model Training,15,2,1,366
Software Engineering,Reading Documentation,19,1,2,151
Software Engineering,Writing Code,3,2,1,64
Software Engineering,Code Review,10,2,1,234
Artificial Intelligence,Data Preprocessing,19,3,2,319
Computer Networks,Lab Simulation,3,1,1,40
Software Engineering,Debugging,17,3,1,479
Artificial Intelligence,Reading Research Papers,1,1,3,7
Software Engineering,System Design,4,3,1,129
Artificial Intelligence,Writing Code,8,2,1,138
Software Engineering,System Design,20,2,2,333
Software Engineering,Writing Code,2,3,2,50
Artificial Intelligence,Math/Algorithm Review,18,1,2,183
Artificial Intelligence,Writing Code,24,2,3,227
Software Engineering,Writing Code,15,2,2,197
Computer Networks,Reading Protocols,18,2,1,389
Software Engineering,Writing Code,13,3,3,180
Computer Networks,Reading Protocols,7,2,1,120
Artificial Intelligence,Writing Code,24,1,2,141
Software Engineering,Reading Documentation,22,2,2,277
Software Engineering,System Design,5,3,1,156
Artificial Intelligence,Reading Research Papers,17,1,2,131
Artificial Intelligence,Reading Research Papers,12,3,1,390
Artificial Intelligence,Model Training,20,2,1,339
Artificial Intelligence,Writing Code,12,2,1,224
Artificial Intelligence,Model Training,19,2,2,290
Computer Networks,Reading Protocols,16,2,3,154
Computer Networks,Lab Simulation,18,2,2,282
Software Engineering,Reading Documentation,11,2,1,256
Computer Networks,Reading Protocols,17,1,1,229
Computer Networks,Reading Protocols,8,3,1,262
Software Engineering,Reading Documentation,21,2,2,331
Software Engineering,Writing Code,12,2,2,182
Software Engineering,Debugging,18,1,2,180
Software Engineering,Debugging,17,1,1,241
Computer Networks,Network Troubleshooting,24,1,1,224
Artificial Intelligence,Reading Research Papers,18,2,3,219
Computer Networks,Security Auditing,10,2,1,193
Software Engineering,Debugging,8,3,2,185
Software Engineering,Debugging,16,1,3,68
Computer Networks,Reading Protocols,6,3,2,129
Software Engineering,System Design,14,3,1,331
Computer Networks,Reading Protocols,20,3,2,538
Computer Networks,Security Auditing,18,1,1,291
Artificial Intelligence,Writing Code,6,1,2,44
Software Engineering,Writing Code,6,1,1,87
Software Engineering,System Design,8,1,2,87
Artificial Intelligence,Writing Code,12,1,2,109
Software Engineering,System Design,8,1,1,119
Artificial Intelligence,Model Training,23,2,2,400
Artificial Intelligence,Data Preprocessing,21,1,1,317
Artificial Intelligence,Model Training,19,2,1,369
Artificial Intelligence,Reading Research Papers,2,1,2,20
Computer Networks,Network Troubleshooting,14,2,1,271
Artificial Intelligence,Math/Algorithm Review,24,1,3,140
Artificial Intelligence,Data Preprocessing,7,2,2,93
Artificial Intelligence,Model Training,22,3,3,358
Artificial Intelligence,Data Preprocessing,15,1,3,93
Software Engineering,Writing Code,14,3,2,298
Computer Networks,Security Auditing,5,2,3,51
Artificial Intelligence,Math/Algorithm Review,22,2,1,464
Artificial Intelligence,Model Training,23,1,1,260
Software Engineering,Writing Code,7,2,2,72
Artificial Intelligence,Data Preprocessing,4,2,2,73
Computer Networks,Configuring Routers,18,1,2,147
Software Engineering,Debugging,8,3,2,175
Computer Networks,Security Auditing,7,1,2,61
Artificial Intelligence,Model Training,13,1,3,103
Computer Networks,Reading Protocols,8,2,2,86
Software Engineering,Writing Code,24,3,1,825
Computer Networks,Security Auditing,19,3,3,240
Artificial Intelligence,Writing Code,14,2,3,123
Artificial Intelligence,Reading Research Papers,13,3,3,244
Software Engineering,Debugging,9,1,3,59
Artificial Intelligence,Model Training,20,1,2,178
Software Engineering,Debugging,1,2,3,10
Computer Networks,Configuring Routers,16,2,2,177
Artificial Intelligence,Reading Research Papers,10,3,1,286
Artificial Intelligence,Data Preprocessing,15,1,1,205
Artificial Intelligence,Model Training,24,2,1,410
Artificial Intelligence,Model Training,2,1,2,20
Artificial Intelligence,Writing Code,19,3,1,507
Computer Networks,Security Auditing,2,3,2,41
Computer Networks,Configuring Routers,24,1,1,314
Computer Networks,Security Auditing,16,1,2,150
Computer Networks,Network Troubleshooting,17,2,1,279
Artificial Intelligence,Writing Code,18,2,2,243
Computer Networks,Lab Simulation,24,2,1,596
Computer Networks,Lab Simulation,5,2,1,79
Artificial Intelligence,Data Preprocessing,17,3,3,237
Software Engineering,Reading Documentation,6,3,2,125
Computer Networks,Configuring Routers,6,1,2,67
Computer Networks,Network Troubleshooting,17,2,1,352
Computer Networks,Lab Simulation,17,1,1,174
Computer Networks,Security Auditing,22,3,1,665
Software Engineering,Code Review,9,1,3,60
Software Engineering,Reading Documentation,6,3,1,167
Software Engineering,Debugging,10,3,1,234
Computer Networks,Network Troubleshooting,12,2,3,107
Software Engineering,Debugging,10,3,1,324
Software Engineering,Writing Code,4,3,3,62
Software Engineering,System Design,19,1,1,191
Computer Networks,Lab Simulation,16,1,1,181
Computer Networks,Security Auditing,8,2,1,138
Computer Networks,Security Auditing,23,2,1,416
Software Engineering,Reading Documentation,19,2,2,295
Computer Networks,Reading Protocols,10,3,3,153
Artificial Intelligence,Data Preprocessing,15,2,2,229
Software Engineering,System Design,6,2,1,85
Artificial Intelligence,Reading Research Papers,5,2,3,62
Artificial Intelligence,Model Training,19,1,2,193
Artificial Intelligence,Model Training,9,1,3,52
Software Engineering,Debugging,24,2,3,289
Computer Networks,Security Auditing,4,1,2,44
Software Engineering,Code Review,1,2,1,22
Artificial Intelligence,Data Preprocessing,23,2,2,274
Computer Networks,Configuring Routers,4,2,2,65
Computer Networks,Configuring Routers,3,2,3,27
Artificial Intelligence,Data Preprocessing,1,2,2,12
Software Engineering,Writing Code,10,2,1,184
Software Engineering,Code Review,8,2,2,112
Software Engineering,Code Review,18,2,2,216
Artificial Intelligence,Math/Algorithm Review,18,1,1,268
Artificial Intelligence,Model Training,20,2,2,299
Software Engineering,System Design,4,2,2,55
Software Engineering,Debugging,15,3,1,479
Artificial Intelligence,Model Training,6,2,1,83
Software Engineering,Code Review,16,2,2,203
Computer Networks,Configuring Routers,12,1,1,194
Artificial Intelligence,Data Preprocessing,18,2,2,197
Computer Networks,Configuring Routers,12,2,2,156
Computer Networks,Security Auditing,19,3,1,505
Computer Networks,Lab Simulation,9,2,3,89
Software Engineering,Debugging,4,2,1,74
Artificial Intelligence,Data Preprocessing,10,1,3,71
Software Engineering,System Design,21,2,3,247
Artificial Intelligence,Data Preprocessing,13,2,2,168
Computer Networks,Configuring Routers,6,1,2,67
Computer Networks,Network Troubleshooting,21,2,1,452
Computer Networks,Reading Protocols,13,2,3,156
Computer Networks,Configuring Routers,18,2,3,162
Software Engineering,Debugging,14,2,3,108
Software Engineering,System Design,21,1,2,156
Artificial Intelligence,Model Training,3,2,1,51
Artificial Intelligence,Math/Algorithm Review,22,2,3,228
Artificial Intelligence,Writing Code,18,1,2,150
Artificial Intelligence,Model Training,8,2,2,140
Artificial Intelligence,Data Preprocessing,8,1,2,99
Artificial Intelligence,Math/Algorithm Review,22,2,1,485
Computer Networks,Reading Protocols,13,1,1,146
Computer Networks,Configuring Routers,4,2,1,80
Artificial Intelligence,Model Training,13,2,3,120
Computer Networks,Security Auditing,13,2,1,293
Computer Networks,Network Troubleshooting,21,2,1,500
Artificial Intelligence,Model Training,6,3,1,167
Software Engineering,Writing Code,11,2,1,195
Artificial Intelligence,Data Preprocessing,15,3,1,432
Software Engineering,Code Review,13,2,1,319
Artificial Intelligence,Writing Code,12,2,2,126
Artificial Intelligence,Reading Research Papers,6,3,1,249
Computer Networks,Security Auditing,8,2,3,102
Software Engineering,Debugging,20,2,1,356
Artificial Intelligence,Reading Research Papers,23,1,1,273
Artificial Intelligence,Math/Algorithm Review,3,1,1,39
Software Engineering,Reading Documentation,1,1,1,10
Computer Networks,Network Troubleshooting,3,2,2,41
Software Engineering,Code Review,12,3,3,201
Software Engineering,Code Review,20,1,2,215
Artificial Intelligence,Model Training,7,2,2,93
Computer Networks,Configuring Routers,3,1,3,20
Software Engineering,Debugging,11,2,2,180
Software Engineering,System Design,15,2,2,177
Artificial Intelligence,Model Training,12,2,2,161
Artificial Intelligence,Reading Research Papers,16,1,1,281
Software Engineering,Code Review,16,2,3,194
Computer Networks,Configuring Routers,22,2,2,367
Artificial Intelligence,Model Training,23,1,2,218
Software Engineering,Writing Code,3,3,2,55
Software Engineering,Writing Code,19,2,3,200
Artificial Intelligence,Math/Algorithm Review,7,2,2,105
Software Engineering,Debugging,15,2,1,245
Artificial Intelligence,Model Training,2,1,3,11
Computer Networks,Security Auditing,11,2,2,140
Computer Networks,Network Troubleshooting,15,1,3,94
Artificial Intelligence,Reading Research Papers,13,2,1,314
Computer Networks,Reading Protocols,20,2,1,502
Software Engineering,Code Review,4,2,2,55
Software Engineering,Writing Code,24,3,2,458
Artificial Intelligence,Writing Code,22,3,3,299
Artificial Intelligence,Model Training,11,1,1,176
Computer Networks,Network Troubleshooting,6,3,2,154
Computer Networks,Network Troubleshooting,2,1,1,24
Computer Networks,Network Troubleshooting,1,1,2,8
Computer Networks,Lab Simulation,1,2,1,17
Artificial Intelligence,Writing Code,12,1,2,114
Artificial Intelligence,Model Training,3,3,3,44
Computer Networks,Configuring Routers,2,3,1,66
Artificial Intelligence,Model Training,18,2,2,279
Computer Networks,Configuring Routers,21,2,1,460
Software Engineering,Code Review,2,1,2,17
Artificial Intelligence,Model Training,2,2,3,17
Artificial Intelligence,Reading Research Papers,9,1,1,104
Artificial Intelligence,Reading Research Papers,8,3,2,146
Computer Networks,Configuring Routers,16,2,3,157
Artificial Intelligence,Reading Research Papers,9,2,3,88
Software Engineering,Debugging,14,1,3,133
Artificial Intelligence,Data Preprocessing,1,2,3,11
Software Engineering,Reading Documentation,24,2,1,352
Computer Networks,Reading Protocols,7,1,2,68
Software Engineering,Reading Documentation,15,1,2,158
Software Engineering,Reading Documentation,2,2,2,27
Computer Networks,Lab Simulation,24,3,1,726
Artificial Intelligence,Model Training,12,1,1,110
Computer Networks,Lab Simulation,1,2,2,12
Computer Networks,Network Troubleshooting,11,2,3,100
Computer Networks,Security Auditing,6,2,1,126
Software Engineering,Writing Code,10,1,2,93
Software Engineering,Writing Code,16,3,2,338
Artificial Intelligence,Model Training,15,1,1,187
Artificial Intelligence,Writing Code,24,3,2,572
Computer Networks,Network Troubleshooting,19,2,2,265
Software Engineering,Code Review,17,2,2,267
Software Engineering,System Design,16,1,1,241
Artificial Intelligence,Data Preprocessing,15,1,2,106
Software Engineering,Debugging,6,2,3,70
Computer Networks,Configuring Routers,4,2,3,37
Computer Networks,Configuring Routers,13,2,2,166
Software Engineering,Debugging,7,1,3,43
Software Engineering,System Design,8,2,1,167
Software Engineering,Writing Code,21,2,2,357
Artificial Intelligence,Reading Research Papers,12,2,1,220
Computer Networks,Reading Protocols,6,2,2,89
Artificial Intelligence,Reading Research Papers,18,2,1,285
Artificial Intelligence,Data Preprocessing,11,2,1,193
Computer Networks,Network Troubleshooting,23,2,1,448
Computer Networks,Configuring Routers,13,1,2,115
Computer Networks,Reading Protocols,4,3,2,71
Artificial Intelligence,Reading Research Papers,22,2,1,357
Software Engineering,System Design,12,3,3,193
Computer Networks,Network Troubleshooting,1,2,1,20
Computer Networks,Network Troubleshooting,2,3,1,52
Software Engineering,Reading Documentation,19,2,2,221
Artificial Intelligence,Math/Algorithm Review,1,2,2,14
Computer Networks,Network Troubleshooting,16,2,2,227
Artificial Intelligence,Writing Code,1,1,1,13
Software Engineering,Reading Documentation,9,1,1,99
Software Engineering,Writing Code,1,1,1,16
Artificial Intelligence,Writing Code,17,1,3,147
Software Engineering,Reading Documentation,18,3,1,381
Software Engineering,System Design,12,3,2,211
Computer Networks,Network Troubleshooting,20,2,2,238
Computer Networks,Reading Protocols,10,1,2,82
Artificial Intelligence,Data Preprocessing,5,3,1,155
Artificial Intelligence,Reading Research Papers,14,2,2,211
Artificial Intelligence,Reading Research Papers,12,2,2,188
Artificial Intelligence,Writing Code,18,1,3,98
Artificial Intelligence,Data Preprocessing,22,2,1,470
Software Engineering,Reading Documentation,6,1,2,70
Computer Networks,Security Auditing,23,3,1,561
Software Engineering,Writing Code,15,2,1,299
Artificial Intelligence,Data Preprocessing,8,2,1,151
Artificial Intelligence,Reading Research Papers,3,2,2,30
Computer Networks,Reading Protocols,11,1,1,200
Software Engineering,Reading Documentation,19,2,1,421
Computer Networks,Reading Protocols,2,3,1,65
Computer Networks,Security Auditing,24,2,2,330
Software Engineering,Reading Documentation,10,2,1,223
Computer Networks,Security Auditing,4,3,2,87
Software Engineering,Writing Code,23,1,1,256
Artificial Intelligence,Data Preprocessing,10,2,2,154
Software Engineering,Code Review,17,1,1,227
Artificial Intelligence,Model Training,4,3,1,135
Software Engineering,Writing Code,12,2,3,137
Artificial Intelligence,Reading Research Papers,18,2,3,198
Artificial Intelligence,Math/Algorithm Review,6,1,1,76
Software Engineering,Reading Documentation,24,2,3,273
Computer Networks,Configuring Routers,19,2,1,224
Software Engineering,Reading Documentation,21,2,1,428
Software Engineering,Code Review,15,3,3,166
Software Engineering,Reading Documentation,8,1,1,100
Software Engineering,Code Review,3,3,2,79
Computer Networks,Security Auditing,20,2,1,510
Computer Networks,Reading Protocols,11,3,1,349
Software Engineering,Debugging,22,2,3,257
Artificial Intelligence,Math/Algorithm Review,15,2,2,251
Software Engineering,Writing Code,4,3,1,124
Artificial Intelligence,Math/Algorithm Review,15,3,2,271
Computer Networks,Reading Protocols,23,1,1,342
Software Engineering,Reading Documentation,17,2,1,372
Computer Networks,Configuring Routers,22,2,2,363
Computer Networks,Network Troubleshooting,23,1,1,308
Software Engineering,Writing Code,16,2,2,235
Artificial Intelligence,Writing Code,20,1,2,201
Computer Networks,Reading Protocols,17,2,1,301
Computer Networks,Network Troubleshooting,21,2,2,281
Software Engineering,Reading Documentation,6,2,2,86
Computer Networks,Security Auditing,23,1,3,141
Software Engineering,Code Review,24,2,2,405
Computer Networks,Network Troubleshooting,7,2,1,135
Computer Networks,Configuring Routers,3,3,1,103
Artificial Intelligence,Data Preprocessing,19,3,2,435
Software Engineering,System Design,11,2,2,169
Software Engineering,Writing Code,6,3,2,147
Computer Networks,Lab Simulation,15,2,2,248
Computer Networks,Security Auditing,16,1,2,132
Software Engineering,System Design,3,1,2,22
Artificial Intelligence,Data Preprocessing,2,2,2,33
Software Engineering,Reading Documentation,18,1,1,210
Computer Networks,Security Auditing,9,2,1,227
Software Engineering,Reading Documentation,16,2,2,232
Software Engineering,Debugging,14,2,1,308
Software Engineering,Reading Documentation,6,2,1,116
Computer Networks,Reading Protocols,18,2,3,199
Computer Networks,Lab Simulation,4,1,3,22
Artificial Intelligence,Math/Algorithm Review,14,1,2,100
Software Engineering,Reading Documentation,23,3,2,625
Artificial Intelligence,Model Training,22,2,1,343
Artificial Intelligence,Writing Code,18,3,1,593
Computer Networks,Configuring Routers,19,3,1,550
Artificial Intelligence,Reading Research Papers,3,2,3,28
Computer Networks,Reading Protocols,5,2,1,101
Software Engineering,Writing Code,14,1,1,152
Artificial Intelligence,Math/Algorithm Review,9,2,2,116
Computer Networks,Security Auditing,16,2,2,227
Software Engineering,Writing Code,7,2,3,68
Computer Networks,Configuring Routers,17,2,1,314
Artificial Intelligence,Reading Research Papers,1,1,3,5
Software Engineering,System Design,11,2,2,171
Computer Networks,Lab Simulation,22,2,2,188
Software Engineering,Writing Code,16,2,2,269
Software Engineering,System Design,5,2,3,63
Computer Networks,Network Troubleshooting,16,2,2,206
Computer Networks,Security Auditing,1,3,2,23
Artificial Intelligence,Model Training,18,2,2,249
Software Engineering,Debugging,15,2,1,260
Artificial Intelligence,Model Training,12,2,1,172
Software Engineering,Code Review,22,1,1,240
Software Engineering,System Design,18,1,1,252
Software Engineering,Code Review,17,1,2,143
Software Engineering,System Design,6,1,2,50
Artificial Intelligence,Math/Algorithm Review,21,2,1,603
Computer Networks,Configuring Routers,20,3,1,548
Computer Networks,Network Troubleshooting,14,2,3,105
Software Engineering,Reading Documentation,12,1,3,90
Software Engineering,System Design,12,2,1,180
Artificial Intelligence,Data Preprocessing,8,2,1,175
Software Engineering,System Design,22,2,1,373
Computer Networks,Network Troubleshooting,14,2,2,248
Artificial Intelligence,Math/Algorithm Review,16,3,3,248
Software Engineering,System Design,7,2,3,54
Computer Networks,Configuring Routers,22,2,3,229
Software Engineering,System Design,14,2,2,214
Software Engineering,Debugging,10,1,1,144
Artificial Intelligence,Math/Algorithm Review,2,2,3,20
Artificial Intelligence,Model Training,16,1,2,147
Software Engineering,Debugging,11,1,2,108
Computer Networks,Reading Protocols,22,2,3,212
Artificial Intelligence,Math/Algorithm Review,14,1,3,78
Artificial Intelligence,Writing Code,4,2,1,87
Artificial Intelligence,Reading Research Papers,10,2,1,242
Software Engineering,Code Review,17,2,3,141
Artificial Intelligence,Math/Algorithm Review,13,2,1,218
Software Engineering,Reading Documentation,2,2,1,40
Software Engineering,Debugging,2,1,3,13
Artificial Intelligence,Model Training,3,3,3,52
Software Engineering,System Design,9,2,2,145
Software Engineering,System Design,10,2,1,192
Computer Networks,Lab Simulation,23,3,3,263
Software Engineering,Code Review,15,1,1,252
Software Engineering,Debugging,5,1,2,53
Computer Networks,Reading Protocols,13,2,2,182
Artificial Intelligence,Reading Research Papers,7,2,3,88
Software Engineering,Writing Code,2,1,2,16
Software Engineering,Debugging,3,3,3,35
Software Engineering,Code Review,22,3,2,625
Computer Networks,Lab Simulation,9,2,2,108
Software Engineering,Reading Documentation,9,1,2,94
Computer Networks,Configuring Routers,5,3,3,55
Software Engineering,System Design,22,3,1,713
Artificial Intelligence,Math/Algorithm Review,19,1,3,142
Artificial Intelligence,Math/Algorithm Review,4,2,1,77
Software Engineering,Writing Code,4,1,2,44
Software Engineering,System Design,17,2,2,243
Computer Networks,Security Auditing,13,2,2,190
Artificial Intelligence,Math/Algorithm Review,24,2,2,357
Computer Networks,Lab Simulation,2,2,3,16
Computer Networks,Reading Protocols,19,2,1,344
Artificial Intelligence,Math/Algorithm Review,22,2,1,514
Software Engineering,Reading Documentation,8,2,1,155
Software Engineering,Debugging,18,1,3,105
Computer Networks,Security Auditing,23,1,2,258
Software Engineering,Code Review,7,2,2,93
Software Engineering,Debugging,15,1,3,108
Computer Networks,Security Auditing,9,2,1,207
Artificial Intelligence,Reading Research Papers,10,2,2,143
Artificial Intelligence,Reading Research Papers,22,1,1,334
Software Engineering,Code Review,6,1,1,88
Artificial Intelligence,Model Training,23,2,1,421
Software Engineering,Writing Code,13,2,2,221
Software Engineering,Code Review,21,1,1,250
Computer Networks,Lab Simulation,14,2,3,123
Computer Networks,Network Troubleshooting,22,3,2,385
Computer Networks,Configuring Routers,16,2,1,288
Software Engineering,Writing Code,5,2,2,78
Software Engineering,Code Review,23,2,2,244
Artificial Intelligence,Writing Code,19,3,2,424
Computer Networks,Reading Protocols,8,2,2,87
Computer Networks,Reading Protocols,5,2,3,53
Software Engineering,System Design,8,1,1,102
Artificial Intelligence,Model Training,13,3,1,368
Artificial Intelligence,Writing Code,22,3,1,576
Software Engineering,Code Review,9,2,2,146
Software Engineering,Reading Documentation,8,2,1,171
Software Engineering,System Design,6,1,1,67
Artificial Intelligence,Writing Code,16,2,1,362
Computer Networks,Reading Protocols,19,2,3,206
Computer Networks,Security Auditing,15,3,3,273
Computer Networks,Configuring Routers,11,2,3,95
Computer Networks,Configuring Routers,2,2,1,49
Software Engineering,Debugging,4,2,1,86
Computer Networks,Reading Protocols,4,2,3,41
Artificial Intelligence,Data Preprocessing,24,1,3,175
Software Engineering,Debugging,1,2,2,12
Artificial Intelligence,Reading Research Papers,19,2,1,341
Computer Networks,Reading Protocols,7,1,2,72
Software Engineering,Reading Documentation,7,1,1,98
Software Engineering,Writing Code,10,2,1,182
Computer Networks,Security Auditing,23,1,2,180
Computer Networks,Security Auditing,2,2,1,36
Software Engineering,Writing Code,8,2,1,151
Artificial Intelligence,Math/Algorithm Review,18,2,2,249
Computer Networks,Reading Protocols,6,2,2,83
Software Engineering,Reading Documentation,15,1,1,279
Artificial Intelligence,Writing Code,3,2,1,84
Computer Networks,Network Troubleshooting,17,3,1,425
Artificial Intelligence,Writing Code,22,2,3,226
Software Engineering,Debugging,6,1,2,52
Artificial Intelligence,Data Preprocessing,20,2,2,270
Computer Networks,Configuring Routers,8,3,3,137
Computer Networks,Network Troubleshooting,7,1,1,80
Computer Networks,Network Troubleshooting,2,1,1,23
Artificial Intelligence,Data Preprocessing,16,2,3,185
Artificial Intelligence,Model Training,5,2,3,56
Software Engineering,System Design,19,2,2,297
Software Engineering,System Design,22,2,1,346
Artificial Intelligence,Writing Code,16,2,1,339
Artificial Intelligence,Math/Algorithm Review,4,2,3,32
Computer Networks,Network Troubleshooting,23,1,1,325
Software Engineering,System Design,19,2,1,469
Software Engineering,Debugging,16,2,2,239
Computer Networks,Lab Simulation,11,1,1,115
Software Engineering,Reading Documentation,24,3,1,957
Artificial Intelligence,Math/Algorithm Review,4,2,2,63
Software Engineering,Reading Documentation,3,2,1,58
Software Engineering,System Design,21,3,1,668
Artificial Intelligence,Reading Research Papers,10,2,3,116
Computer Networks,Reading Protocols,11,2,3,103
Computer Networks,Security Auditing,8,2,1,123
Software Engineering,System Design,13,2,2,243
Software Engineering,System Design,20,3,3,256
Computer Networks,Lab Simulation,23,2,2,311
Artificial Intelligence,Model Training,2,2,1,43
Computer Networks,Lab Simulation,20,2,2,338
Computer Networks,Configuring Routers,12,1,1,181
Artificial Intelligence,Model Training,20,2,1,443
Artificial Intelligence,Model Training,24,2,2,278
Artificial Intelligence,Writing Code,2,3,3,36
Computer Networks,Configuring Routers,14,2,2,211
Software Engineering,Writing Code,21,3,2,493
Computer Networks,Network Troubleshooting,15,2,3,164
Computer Networks,Reading Protocols,16,2,1,261
Software Engineering,System Design,9,1,2,75
Artificial Intelligence,Model Training,16,3,2,245
Computer Networks,Reading Protocols,10,1,3,72
Computer Networks,Configuring Routers,4,2,1,98
Computer Networks,Network Troubleshooting,17,2,2,219
Software Engineering,System Design,1,3,2,21
Artificial Intelligence,Data Preprocessing,3,1,2,22
Artificial Intelligence,Math/Algorithm Review,23,1,1,252
Software Engineering,Debugging,19,2,2,283
Artificial Intelligence,Reading Research Papers,24,2,2,315
Software Engineering,Code Review,23,2,2,244
Software Engineering,Writing Code,8,3,1,338
Computer Networks,Lab Simulation,14,2,1,344
Artificial Intelligence,Writing Code,15,2,1,296
Computer Networks,Lab Simulation,18,3,1,517
Software Engineering,Writing Code,11,3,3,184
Software Engineering,Code Review,22,2,3,231
Software Engineering,Debugging,18,3,2,370
Artificial Intelligence,Model Training,9,2,2,109
Computer Networks,Network Troubleshooting,7,3,1,223
Computer Networks,Network Troubleshooting,11,2,1,233
Software Engineering,Reading Documentation,3,1,2,35
Software Engineering,Debugging,18,2,2,224
Computer Networks,Security Auditing,12,2,2,226
Artificial Intelligence,Data Preprocessing,17,3,2,344
Software Engineering,Reading Documentation,19,2,1,481
Artificial Intelligence,Reading Research Papers,6,2,2,80
Software Engineering,Reading Documentation,10,1,1,92
Artificial Intelligence,Data Preprocessing,22,1,3,132
Computer Networks,Network Troubleshooting,4,2,2,52
Computer Networks,Security Auditing,23,2,2,327
Software Engineering,Writing Code,16,3,1,504
Artificial Intelligence,Model Training,6,2,2,88
Artificial Intelligence,Reading Research Papers,13,1,2,122
Software Engineering,Debugging,23,2,2,348
Artificial Intelligence,Math/Algorithm Review,3,2,1,63
Software Engineering,Code Review,12,2,2,157
Software Engineering,System Design,13,3,3,168
Software Engineering,Reading Documentation,3,3,2,69
Software Engineering,Reading Documentation,9,3,1,296
Computer Networks,Configuring Routers,15,2,2,195
Artificial Intelligence,Math/Algorithm Review,9,3,2,129
Software Engineering,Debugging,14,2,1,309
Computer Networks,Security Auditing,22,3,3,378
Software Engineering,Code Review,5,1,1,68
Computer Networks,Network Troubleshooting,14,2,2,166
Computer Networks,Reading Protocols,1,2,2,14
Software Engineering,Writing Code,19,3,2,495
Computer Networks,Lab Simulation,17,3,3,259
Artificial Intelligence,Model Training,21,1,3,160
Artificial Intelligence,Model Training,4,1,3,30
Computer Networks,Lab Simulation,3,1,1,45
Software Engineering,Code Review,8,2,1,120
Software Engineering,Writing Code,5,2,3,50
Computer Networks,Security Auditing,1,1,1,15
Software Engineering,System Design,9,1,1,150
Software Engineering,Writing Code,2,2,1,41
Artificial Intelligence,Writing Code,16,1,1,212
Artificial Intelligence,Writing Code,7,3,2,170
Software Engineering,Debugging,17,2,2,313
Computer Networks,Network Troubleshooting,10,2,2,152
Software Engineering,Reading Documentation,5,2,2,76
Artificial Intelligence,Writing Code,19,3,1,471
Software Engineering,Reading Documentation,5,1,3,21
Artificial Intelligence,Math/Algorithm Review,10,2,3,108
Artificial Intelligence,Writing Code,17,3,3,219
Artificial Intelligence,Math/Algorithm Review,21,1,1,314
